"MonitorDate","Country","CaseCount","DeathCount","PeriodToDateCaseCount","PeriodToDateDeathCount","Population","CountryCode","Source"
"4/14/2021 12:00:00 AM","Cote d'Ivoire","123","2","45388","271","25069229","CIV","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Croatia","3099","41","297973","6399","4089400","HRV","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Cuba","959","11","89404","487","11338138","CUB","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Cyprus","602","3","53254","277","1189265","CYP","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Denmark","664","1","240225","2448","5797446","DNK","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Djibouti","125","4","10202","106","958920","DJI","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Dominican Republic","623","5","259260","3402","10627165","DOM","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Ecuador","2950","49","350539","17400","17084357","ECU","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Egypt, Arab Rep.","831","44","212961","12570","98423595","EGY","Covid19DataVault"
"4/14/2021 12:00:00 AM","El Salvador","140","3","66956","2060","6420744","SLV","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Equatorial Guinea","40","0","7259","106","1308974","GNQ","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Eritrea","10","0","3479","10","3200000","ERI","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Estonia","549","8","115629","1057","1320884","EST","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Ethiopia","1893","22","234405","3252","109224559","ETH","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Fiji","0","0","68","2","883483","FJI","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Finland","400","4","82964","881","5518050","FIN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","France","43507","297","5210772","99936","66987244","FRA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Gabon","595","3","21566","132","2119275","GAB","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Gambia, The","80","2","5682","170","2280102","GMB","Covid19DataVault"
"4/14/2021 12:00:00 AM","Georgia","1085","7","291214","3901","3731000","GEO","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Germany","31117","290","3085142","79427","82927922","DEU","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
