"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"CAN","North America","Canada","2021-11-11","1749800.0","1441.0","2337.143","29317.0","14.0","21.143","45965.22","37.853","61.394","770.124","0.368","0.555","","","","","","","","","","","38067913.0","4.037","41.4","16.984","10.797","44017.591","0.5","105.599","7.37","12.0","16.6","","","82.43"
"CAN","North America","Canada","2021-11-12","1753722.0","3922.0","2536.857","29362.0","45.0","25.286","46068.247","103.026","66.64","771.306","1.182","0.664","","","","","","","","","","","38067913.0","4.037","41.4","16.984","10.797","44017.591","0.5","105.599","7.37","12.0","16.6","","","82.43"
"CPV","Africa","Cape Verde","2021-11-10","38278.0","14.0","7.143","350.0","0.0","0.143","68122.32","24.915","12.712","622.886","0.0","0.254","461.0","","","0.82","","","","","tests performed","","561901.0","135.58","25.7","4.46","3.437","6222.554","","182.219","2.42","2.1","16.5","","","72.98"
"CPV","Africa","Cape Verde","2021-11-12","38293.0","6.0","7.286","350.0","0.0","0.143","68149.016","10.678","12.966","622.886","0.0","0.254","","","","","","","","","","","561901.0","135.58","25.7","4.46","3.437","6222.554","","182.219","2.42","2.1","16.5","","","72.98"
"CAF","Africa","Central African Republic","2021-11-10","11579.0","0.0","0.0","100.0","0.0","0.0","2353.462","0.0","0.0","20.325","0.0","0.0","","","","","","","","","","","4919987.0","7.479","18.3","3.655","2.251","661.24","","435.727","6.1","","","16.603","","53.28"
"CAF","Africa","Central African Republic","2021-11-11","11579.0","0.0","0.0","100.0","0.0","0.0","2353.462","0.0","0.0","20.325","0.0","0.0","","","","","","","","","","","4919987.0","7.479","18.3","3.655","2.251","661.24","","435.727","6.1","","","16.603","","53.28"
"CAF","Africa","Central African Republic","2021-11-12","11666.0","87.0","12.429","101.0","1.0","0.143","2371.144","17.683","2.526","20.529","0.203","0.029","","","","","","","","","","","4919987.0","7.479","18.3","3.655","2.251","661.24","","435.727","6.1","","","16.603","","53.28"
"TCD","Africa","Chad","2021-11-10","5107.0","0.0","0.0","175.0","0.0","0.0","301.922","0.0","0.0","10.346","0.0","0.0","","","","","","","","","","","16914985.0","11.833","16.7","2.486","1.446","1768.153","38.4","280.995","6.1","","","5.818","","54.24"
"TCD","Africa","Chad","2021-11-11","5107.0","0.0","0.0","175.0","0.0","0.0","301.922","0.0","0.0","10.346","0.0","0.0","","","","","","","","","","","16914985.0","11.833","16.7","2.486","1.446","1768.153","38.4","280.995","6.1","","","5.818","","54.24"
"TCD","Africa","Chad","2021-11-12","5107.0","0.0","0.0","175.0","0.0","0.0","301.922","0.0","0.0","10.346","0.0","0.0","","","","","","","","","","","16914985.0","11.833","16.7","2.486","1.446","1768.153","38.4","280.995","6.1","","","5.818","","54.24"
