"monitor_date","county_name","state_name","region","subregion","fips","latitude","longitude","case_count_to_date","death_count_to_date","case_count","death_count","previous_monitor_date","population_year","population","source"
"5/1/2021 12:00:00 AM","Union County","Pennsylvania","Northeast","Middle Atlantic","42119","40.962179","-77.055475 ","5928","86","8","0","4/30/2021 12:00:00 AM","2019","44923","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Winston County","Mississippi","South","East South Central","28159","33.078724","-89.037391 ","2267","81","0","0","4/30/2021 12:00:00 AM","2019","17955","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Lowndes County","Alabama","South","East South Central","01085","32.147888","-86.650586 ","1383","53","0","0","4/30/2021 12:00:00 AM","2019","9726","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Florence County","Wisconsin","Midwest","East North Central","55037","45.871828","-88.406988 ","499","12","1","0","4/30/2021 12:00:00 AM","2019","4295","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Teller County","Colorado","West","Mountain","08119","38.869976","-105.187365 ","1656","14","5","0","4/30/2021 12:00:00 AM","2019","25388","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Worth County","Georgia","South","South Atlantic","13321","31.551773","-83.84996 ","1782","68","2","0","4/30/2021 12:00:00 AM","2019","20247","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Falls County","Texas","South","West South Central","48145","31.25193","-96.934127 ","2084","32","1","0","4/30/2021 12:00:00 AM","2019","17297","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Gregg County","Texas","South","West South Central","48183","32.486401","-94.816277 ","11098","353","0","0","4/30/2021 12:00:00 AM","2019","123945","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Henderson County","Tennessee","South","East South Central","47077","35.653994","-88.387674 ","3777","76","0","0","4/30/2021 12:00:00 AM","2019","28117","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Day County","South Dakota","Midwest","West North Central","46037","45.355161","-97.58143 ","703","29","0","0","4/30/2021 12:00:00 AM","2019","5424","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Mercer County","Pennsylvania","Northeast","Middle Atlantic","42085","41.300014","-80.252786 ","9159","254","24","0","4/30/2021 12:00:00 AM","2019","109424","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Van Buren County","Arkansas","South","West South Central","05141","35.582953","-92.515976 ","1300","23","2","0","4/30/2021 12:00:00 AM","2019","16545","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Costilla County","Colorado","West","Mountain","08023","37.277547","-105.42894 ","208","2","0","0","4/30/2021 12:00:00 AM","2019","3887","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Yamhill County","Oregon","West","Pacific","41071","45.247827","-123.316399 ","4298","75","21","0","4/30/2021 12:00:00 AM","2019","107100","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Hughes County","Oklahoma","South","West South Central","40063","35.052934","-96.251183 ","1232","29","0","0","4/30/2021 12:00:00 AM","2019","13279","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Edgecombe County","North Carolina","South","South Atlantic","37065","35.917077","-77.602742 ","5462","111","0","0","4/30/2021 12:00:00 AM","2019","51472","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Chittenden County","Vermont","Northeast","New England","50007","44.463329","-73.06941 ","7325","101","14","0","4/30/2021 12:00:00 AM","2019","163774","NYTIMES-USCENSUS"
