"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"HRV","Europe","Croatia","2021-04-21","313423.0","3117.0","2207.143","6692.0","49.0","41.857","76346.538","759.268","537.637","1630.101","11.936","10.196","","","","","","","","","","","4105268.0","73.726","44.0","19.724","13.053","22669.797","0.7","253.782","5.59","34.3","39.9","","","78.49"
"CUB","North America","Cuba","2021-04-19","94571.0","1060.0","1026.571","531.0","6.0","9.143","8349.449","93.585","90.634","46.881","0.53","0.807","","","","","","","","","","79.63","11326616.0","110.408","43.1","14.738","9.719","","","190.968","8.27","17.1","53.3","85.198","","78.8"
"CUB","North America","Cuba","2021-04-20","95754.0","1183.0","1044.143","538.0","7.0","8.857","8453.893","104.444","92.185","47.499","0.618","0.782","","","","","","","","","","","11326616.0","110.408","43.1","14.738","9.719","","","190.968","8.27","17.1","53.3","85.198","","78.8"
"CUB","North America","Cuba","2021-04-21","96760.0","1006.0","1050.857","547.0","9.0","8.571","8542.71","88.817","92.778","48.293","0.795","0.757","","","","","","","","","","","11326616.0","110.408","43.1","14.738","9.719","","","190.968","8.27","17.1","53.3","85.198","","78.8"
"CUW","North America","Curacao","2021-04-19","","","","","","","","","","","","","","","","","","","","","","","164100.0","362.644","41.7","16.367","10.068","","","","11.62","","","","","78.88"
"CUW","North America","Curacao","2021-04-20","","","","","","","","","","","","","","","","","","","","","","","164100.0","362.644","41.7","16.367","10.068","","","","11.62","","","","","78.88"
"CUW","North America","Curacao","2021-04-21","","","","","","","","","","","","","","","","","","","","","","","164100.0","362.644","41.7","16.367","10.068","","","","11.62","","","","","78.88"
"CYP","Europe","Cyprus","2021-04-19","57081.0","822.0","721.143","294.0","3.0","3.0","65168.473","938.464","823.317","335.655","3.425","3.425","","","","","","","","","","","875899.0","127.657","37.3","13.416","8.563","32415.132","","141.171","9.24","19.6","52.7","","","80.98"
"DJI","Africa","Djibouti","2021-04-20","10557.0","47.0","68.571","123.0","4.0","3.0","10685.201","47.571","69.404","124.494","4.049","3.036","","","","","","","","","","","988002.0","41.285","25.4","4.213","2.38","2705.406","22.5","258.037","6.05","1.7","24.5","","","67.11"
"DMA","North America","Dominica","2021-04-19","165.0","0.0","0.0","","","0.0","2291.953","0.0","0.0","","","0.0","","","","","","","","","","","71991.0","98.567","","","","9673.367","","227.376","11.62","","","","","75.0"
